ax   ay   az   gx   gy   gz   mx   my   mz
time 8:53:21	mag_center= 610 180 400		radii = 1.000000 1.000000 1.000000		fitacry = 0.000000 0.000000
147 175 985 -101 -40 -53 -186 -591 -2227 
137 166 986 -53 -28 -35 -191 -619 -2221 
131 153 1016 -41 12 -42 -186 -596 -2228 
143 148 1032 -28 13 -32 -180 -608 -2215 
172 166 1046 -12 3 -18 -197 -596 -2208 
193 177 1030 -19 -4 -15 -209 -596 -2221 
227 188 1017 -7 -3 -15 -197 -573 -2221 
271 206 1021 -16 -10 -24 -209 -596 -2221 
236 180 990 -8 -2 -45 -203 -573 -2221 
264 180 966 -3 -2 -58 -191 -585 -2228 
305 199 975 -22 -11 -71 -197 -556 -2228 
337 207 919 -19 0 -89 -186 -550 -2247 
202 143 970 -8 45 -113 -203 -527 -2221 
170 120 976 -11 54 -113 -180 -498 -2228 
121 105 1019 -21 25 -89 -191 -498 -2215 
91 107 1069 -8 41 -76 -162 -452 -2189 
107 126 1029 -13 22 -56 -151 -446 -2209 
127 149 1015 -19 -7 -39 -180 -434 -2183 
138 166 1015 -24 -15 -35 -168 -434 -2196 
167 173 969 -20 -13 -24 -162 -429 -2189 
166 165 1002 -16 -10 -15 -151 -423 -2196 
158 163 1024 -20 -14 -12 -168 -440 -2202 
186 185 946 -8 -26 -2 -168 -429 -2202 
192 175 991 -7 -31 0 -157 -429 -2222 
216 182 983 -8 -9 -5 -168 -446 -2215 
229 202 975 1 -7 1 -168 -446 -2221 
236 200 990 -7 -16 1 -162 -446 -2202 
225 203 971 -10 -15 -1 -168 -446 -2235 
225 197 994 2 1 3 -180 -440 -2222 
228 206 980 2 2 3 -162 -440 -2215 
227 202 989 -3 -2 2 -180 -434 -2209 
239 211 981 3 2 3 -180 -434 -2202 
236 206 991 0 -2 1 -162 -452 -2228 
230 205 966 -7 -4 -1 -191 -440 -2222 
234 203 973 -3 -1 1 -168 -446 -2235 
235 200 990 0 1 1 -168 -440 -2241 
